id,datetime,text,thread_text,status,category,subcategory,hashtags
301,2025-11-08 12:00,"クリームシチューをご飯にかけて食べる派？
私はアリだと思うんだけど
みんなどう思う？",,pending,質問,食べ物,
302,2025-11-08 13:00,"初めて買ったゲーム機、覚えてる？
私はゲームボーイカラーだった
何のゲーム機だった？",,pending,質問,ゲーム,
303,2025-11-08 14:00,"カラオケで歌ってた曲、今聞くと恥ずかしい
当時は本気で歌ってたのに
みんなもそういう曲ある？",,pending,共感,カラオケ,
304,2025-11-08 15:00,"学校の図書室、よく行ってた？
私は昼休みに毎日入り浸ってた
好きな場所だったな",,pending,質問,学校,
305,2025-11-08 16:00,"ガラケーの着信音、何にしてた？
私はオリジナルの曲作ってた
今思うと謎のこだわり😂",,pending,共感,ガラケー,
306,2025-11-08 17:00,"初めて一人暮らしした時
料理全然できなくて毎日レトルト
みんな最初はそんな感じだった？",,pending,質問,一人暮らし,
307,2025-11-08 18:00,"部活の先輩、めっちゃ怖かった記憶
でも今思うと優しかったのかも
先輩との思い出ある？",,pending,共感,部活,
308,2025-11-08 19:00,"夜更かししてゲームやってた頃
次の日めっちゃ眠かった
懐かしすぎる😅",,pending,質問,ゲーム,
309,2025-11-08 20:00,"友達の家でお泊まり会してた
朝まで喋ってた思い出
今はもうできないよね",,pending,共感,友達,
310,2025-11-08 21:00,"結局、一番楽しかったのって
学生時代なのかもしれない
みんなどう思う？",,pending,質問,ノスタルジー,
