id,datetime,text,thread_text,status,category,subcategory,hashtags
201,2025-11-04 08:00,"LINEの投稿機能でクラス替えのたびに
3人くらい指名して自己紹介投稿してた
今思うとネットリテラシーほんとなかったw",,pending,共感,LINE,
202,2025-11-04 08:30,"シール交換とプロフィール帳めちゃ貯めてた
実家に帰ったら大量の残りを発見
今の子達もやってるのかな？",,pending,質問,学校,
203,2025-11-04 09:00,"プールで目を洗うのってあれはなんだったんだろう
確実に目にダメージ入っててびっくり
誰も疑問に思わなかったの？😂",,pending,共感,学校,
204,2025-11-04 09:30,"座高っていつまで測ってたー？
今はもう計測しないんだよね
あれは誰がなんの目的で測り始めたのか謎すぎる笑",,pending,質問,学校,
205,2025-11-04 10:00,"給食の牛乳、三角パックだった人いる？
飲みにくすぎて毎回こぼしてた
あれ、なんで三角だったんだろう",,pending,共感,給食,
206,2025-11-04 10:30,"ランドセルのカバー、透明のやつつけてた？
1年生の時だけ黄色のカバー
誰が決めたんだろう笑",,pending,質問,学校,
207,2025-11-04 11:00,"上履きに名前を油性ペンで書いてた記憶
すぐ薄くなって書き直してた
今はアイロンシールとかあるよね",,pending,共感,学校,
208,2025-11-04 11:30,"学校のトイレ、和式しかなかった人いる？
洋式は職員用だけとか
今考えると不便すぎる😅",,pending,質問,学校,
209,2025-11-04 12:00,"体育館のステージの下に入った経験ある？
暗くて埃だらけだった
でもなんか楽しかった記憶",,pending,共感,学校,
210,2025-11-04 12:30,"消しゴムのカスで練り消し作ってた人いる？
授業中にずっとこねてた
先生に怒られた😂",,pending,質問,学校,
211,2025-11-04 13:00,"学校の水道、レバー式のやつ覚えてる？
足で踏むタイプもあった
今はセンサー式だよね",,pending,共感,学校,
212,2025-11-04 13:30,"筆箱、缶ペンケース使ってた人いる？
落とすとめっちゃ音なる
授業中に落として恥ずかしかった😅",,pending,質問,学校,
213,2025-11-04 14:00,"給食の時間、牛乳じゃんけんしてた？
余った牛乳を賭けて勝負
負けると飲めない悔しさ",,pending,共感,給食,
214,2025-11-04 14:30,"ノートの端っこにパラパラ漫画描いてた人いる？
授業中にずっと描いてた
今見たら下手すぎて笑える😂",,pending,質問,学校,
215,2025-11-04 15:00,"理科室の人体模型、怖かったよね
放課後に見るとマジで怖い
トラウマになってる人いる？",,pending,共感,学校,
216,2025-11-04 15:30,"体育の時の赤白帽子、裏返して被ってた
赤組白組で色変えるやつ
今もあるのかな？",,pending,質問,体育,
217,2025-11-04 16:00,"鍵盤ハーモニカの唾液処理、覚えてる？
あのチューブに溜まる水分
今思うと不衛生すぎ😅",,pending,共感,音楽,
218,2025-11-04 16:30,"算数セット、使わないパーツめっちゃあった
おはじきとか数え棒とか
結局ほぼ使わなかったよね",,pending,質問,学校,
219,2025-11-04 17:00,"廊下を走るな!って言われてたけど
みんな普通に走ってたよね
先生に見つかって怒られた記憶😂",,pending,共感,学校,
220,2025-11-04 17:30,"掃除の時間、ほうきでチャンバラしてた人いる？
バレて先生に怒られる
でも楽しかった",,pending,質問,掃除,
221,2025-11-04 18:00,"給食のソフト麺、食べてた人いる？
袋から出すタイミング難しかった
今でも売ってるの？",,pending,共感,給食,
222,2025-11-04 18:30,"体育倉庫の匂い、独特だったよね
ボールとマットの混ざった匂い
今でも思い出せる",,pending,質問,体育,
223,2025-11-04 19:00,"図工の時間、粘土の匂い懐かしい
手にめっちゃくっついてた
油粘土派？紙粘土派？",,pending,共感,図工,
224,2025-11-04 19:30,"学校のチョーク、折れまくってたよね
黒板消しクリーナーもあった
今はホワイトボードなのかな",,pending,質問,学校,
225,2025-11-04 20:00,"放送委員で校内放送してた人いる？
お昼の放送とかやってた
緊張して噛みまくった😂",,pending,共感,委員会,
226,2025-11-04 20:30,"身体測定の時の半裸待機
冬は寒すぎた記憶
今もやってるの？",,pending,質問,学校,
227,2025-11-04 21:00,"避難訓練で校庭に集合してた
「お・は・し・も」って覚えさせられた
今でも覚えてる人いる？",,pending,共感,学校,
228,2025-11-04 21:30,"運動会の組体操、やってた人いる？
ピラミッドとか危険すぎ
今は禁止になったよね",,pending,質問,運動会,
229,2025-11-04 22:00,"学校のプール、塩素臭すぎた
髪の毛バサバサになってた
今思うと塩素強すぎ😅",,pending,共感,プール,
230,2025-11-04 22:30,"縦笛のテストで緊張した記憶
息が続かなくて失敗
リコーダー、今どこにあるんだろう",,pending,質問,音楽,
231,2025-11-04 23:00,"掃除の時間、机運び係だった人いる？
重い机を2人で持ち上げる
よく指挟んでた😂",,pending,共感,掃除,
232,2025-11-04 23:30,"結局、小学校の思い出って
給食と休み時間しか覚えてないよね
勉強の記憶ほぼない笑",,pending,質問,ノスタルジー,
